source	target	weight
#	d_o,t_U	1.396648e-03
#	q_i,ts\h_i	2.793296e-03
#	c_a,tsh_a	1.396648e-03
#	z_v,ts_y	1.396648e-03
#	n_i,n	4.189944e-03
#	t_i,th_i	2.793296e-03
#	c_a,tsh_A	1.396648e-03
#	j_u,ts\_y{	1.396648e-03
#	m_v,m_y	1.396648e-03
#	y_u,y	1.396648e-03
#	r_o,z`_U	1.396648e-03
#	k_a,kh_A	1.396648e-03
#	h_i,x_i	2.793296e-03
#	g_e,k_7	1.396648e-03
#	n_a,n_A	1.396648e-03
#	n,n	3.212291e-02
#	d_a,t_A	1.396648e-03
#	v_e,j_yE	1.396648e-03
#	c,tsh	2.374302e-02
#	b_i,p	4.189944e-03
#	p_u,ph_u	1.396648e-03
#	x_i,s\	4.189944e-03
#	a,a	1.396648e-03
#	x_u,s\_y{	1.396648e-03
#	s_a,s_A	1.396648e-03
#	g_i,k	4.189944e-03
#	e_n,@_:n	1.396648e-03
#	s_o,s_o	1.396648e-03
#	w_e,w_u@	2.793296e-03
#	h_i,x	4.189944e-03
#	o_u,@U	1.396648e-03
#	i,j	5.586592e-03
#	b_e,p_@	1.396648e-03
#	r_e,z`_7	1.396648e-03
#	l_a,l_a	1.396648e-03
#	p_e,ph_@	1.396648e-03
#	d,t	3.212291e-02
#	y_o,j_iU	1.396648e-03
#	a_n,a_:n	1.396648e-03
#	v_a,j_y{	1.396648e-03
#	m_i,m_i	2.793296e-03
#	t_o,th_o	1.396648e-03
#	f,f	3.212291e-02
#	x,s\	2.234637e-02
#	k,kh	3.212291e-02
#	q,ts\h	2.234637e-02
#	f_i,f	4.189944e-03
#	f_e,f_@	1.396648e-03
#	j_i,ts\	4.189944e-03
#	c_h,ts`h	3.631285e-02
#	k_e,kh_7	1.396648e-03
#	b,p	3.212291e-02
#	z_a,ts_A	1.396648e-03
#	l_e,l_@	1.396648e-03
#	r_u,z`_u	1.396648e-03
#	k_i,kh	4.189944e-03
#	k_i,kh_i	2.793296e-03
#	w_u,u	1.396648e-03
#	r_e,z`_@	1.396648e-03
#	d_e,t_@	1.396648e-03
#	b_v,p_y	1.396648e-03
#	r_a,z`_A	1.396648e-03
#	z_o,ts_U	1.396648e-03
#	l,l	3.212291e-02
#	h_e,x_7	1.396648e-03
#	l_i,l	4.189944e-03
#	p,ph	3.212291e-02
#	z_o,ts_o	1.396648e-03
#	m_o,m_U	1.396648e-03
#	i_a,j_ia	1.396648e-03
#	q_i,ts\h	4.189944e-03
#	c_e,tsh_@	1.396648e-03
#	h_a,x_a	1.396648e-03
#	z_h,ts`	3.631285e-02
#	z_i,ts_i\	1.396648e-03
#	p_i,ph_i	2.793296e-03
#	s_e,s_7	1.396648e-03
#	s_h,s`	3.631285e-02
#	f_o,f_U	1.396648e-03
#	t_i,th	4.189944e-03
#	n_i,n_i	2.793296e-03
#	h,x	3.212291e-02
#	b_o,p_U	1.396648e-03
#	t,th	3.212291e-02
#	s_v,s_y	1.396648e-03
#	t_o,th_U	1.396648e-03
#	m_a,m_A	1.396648e-03
#	z_u,ts_u	1.396648e-03
#	b_a,p_a	1.396648e-03
#	l_e,l_7	1.396648e-03
#	x_i,s\_i	2.793296e-03
#	k_a,kh_a	1.396648e-03
#	t_a,th_a	1.396648e-03
#	r_o,z`_o	1.396648e-03
#	n_a,n_a	1.396648e-03
#	d_a,t_a	1.396648e-03
#	c_o,tsh_o	1.396648e-03
#	v,y	1.396648e-03
#	f_e,f_7	1.396648e-03
#	b_i,p_i	2.793296e-03
#	n_e,n_7	1.396648e-03
#	q_v,ts\h_y	1.396648e-03
#	l_v,l_y	1.396648e-03
#	t_e,th_7	1.396648e-03
#	h_e,x_@	1.396648e-03
#	l_i,l_i	2.793296e-03
#	d_i,t_i	2.793296e-03
#	t_a,th_A	1.396648e-03
#	w_e,w_ue	1.396648e-03
#	f_i,f_i	2.793296e-03
#	h_a,x_A	1.396648e-03
#	x_v,s\_y	1.396648e-03
#	k_o,kh_o	1.396648e-03
#	p_o,ph_uo	1.396648e-03
#	q_u,ts\h_y	1.396648e-03
#	j,ts\	2.234637e-02
#	v,j_yE	1.396648e-03
#	i,j_i	2.793296e-03
#	m_o,m_uo	1.396648e-03
#	j_i,ts\_i	2.793296e-03
#	c_i,tsh_i\	1.396648e-03
#	m_e,m_7	1.396648e-03
#	w_a,w_uA	1.396648e-03
#	y_e,j_ie	1.396648e-03
#	p_v,ph_y	1.396648e-03
#	g_o,k_o	1.396648e-03
#	l_o,l_o	1.396648e-03
#	d_e,t_7	1.396648e-03
#	l_u,l_u	1.396648e-03
#	k_u,kh_u	1.396648e-03
#	u_e,j_yE	1.396648e-03
#	d_v,t_y	1.396648e-03
#	m_e,m_@	1.396648e-03
#	l_o,l_U	1.396648e-03
#	j_u,ts\_y	1.396648e-03
