source	target	weight
s_s,cl_sh	h_i,i	2.000000e-01
s_s,cl_sh	h_o,o	2.000000e-01
p_o,p_o	#	1.000000e+00
w_o,w_o	#	1.000000e+00
v_e,v_e	#	1.000000e+00
p_y,py	o,o	2.000000e-01
p_y,py	i,i	2.000000e-01
p_y,py	a,a	2.000000e-01
p_y,py	u,u	2.000000e-01
p_y,py	e,e	2.000000e-01
j_o,j_o	#	1.000000e+00
f_e,f_e	#	1.000000e+00
h_u,u	#	1.000000e+00
t_i,t_i	#	1.000000e+00
d_a,d_a	#	1.000000e+00
h_a,h_a	#	1.000000e+00
w_a,w_a	#	1.000000e+00
s_i,s_i	#	1.000000e+00
p_e,p_e	#	1.000000e+00
y_y,cl_y	u,u	2.000000e-01
y_y,cl_y	e,e	2.000000e-01
y_y,cl_y	a,a	2.000000e-01
y_y,cl_y	i,i	2.000000e-01
y_y,cl_y	o,o	2.000000e-01
r_r,cl_ry	y_a,a	2.000000e-01
r_r,cl_ry	y_i,i	2.000000e-01
r_r,cl_ry	y_o,o	2.000000e-01
r_r,cl_ry	y_u,u	2.000000e-01
r_r,cl_ry	y_e,e	2.000000e-01
m_i,m_i	#	1.000000e+00
k_u,k_u	#	1.000000e+00
f_u,f_u	#	1.000000e+00
t_a,t_a	#	1.000000e+00
s_e,ts_e	#	1.000000e+00
d_o,d_o	#	1.000000e+00
m_m,cl_my	y_a,a	2.000000e-01
m_m,cl_my	y_e,e	2.000000e-01
m_m,cl_my	y_u,u	2.000000e-01
m_m,cl_my	y_o,o	2.000000e-01
m_m,cl_my	y_i,i	2.000000e-01
s_o,ts_o	#	1.000000e+00
m_a,m_a	#	1.000000e+00
f_o,f_o	#	1.000000e+00
t_e,t_e	#	1.000000e+00
h_i,h_i	#	1.000000e+00
v_o,v_o	#	1.000000e+00
r_i,r_i	#	1.000000e+00
k_o,k_o	#	1.000000e+00
k_a,k_a	#	1.000000e+00
b_e,b_e	#	1.000000e+00
p_i,p_i	#	1.000000e+00
k_k,cl_ky	y_e,e	2.000000e-01
k_k,cl_ky	y_u,u	2.000000e-01
k_k,cl_ky	y_o,o	2.000000e-01
k_k,cl_ky	y_a,a	2.000000e-01
k_k,cl_ky	y_i,i	2.000000e-01
k_e,k_e	#	1.000000e+00
l_u,r_u	#	1.000000e+00
t_u,t_u	#	1.000000e+00
r_e,r_e	#	1.000000e+00
m_y,my	u,u	2.000000e-01
m_y,my	e,e	2.000000e-01
m_y,my	a,a	2.000000e-01
m_y,my	i,i	2.000000e-01
m_y,my	o,o	2.000000e-01
z_i,z_i	#	1.000000e+00
g_i,g_i	#	1.000000e+00
n_i,n_i	#	1.000000e+00
w_w,cl_w	e,e	2.000000e-01
w_w,cl_w	o,o	2.000000e-01
w_w,cl_w	i,i	2.000000e-01
w_w,cl_w	a,a	2.000000e-01
w_w,cl_w	u,u	2.000000e-01
j_i,j_i	#	1.000000e+00
#	m_u,m_u	2.967359e-03
#	w_i,w_i	2.967359e-03
#	f_o,f_o	2.967359e-03
#	w_u,w_u	2.967359e-03
#	n_a,n_a	2.967359e-03
#	m_m,cl_m	1.483680e-02
#	l_o,r_o	2.967359e-03
#	z_z,cl_z	1.483680e-02
#	y_e,y_e	2.967359e-03
#	t_t,cl	1.483680e-02
#	n_e,n_e	2.967359e-03
#	h_u,h_u	2.967359e-03
#	z_u,z_u	2.967359e-03
#	y_u,y_u	2.967359e-03
#	n_o,n_o	2.967359e-03
#	s_s,cl_sh	1.483680e-02
#	z_i,z_i	2.967359e-03
#	w_o,w_o	2.967359e-03
#	m_i,m_i	2.967359e-03
#	r_a,r_a	2.967359e-03
#	u,u	2.967359e-03
#	v_e,v_e	2.967359e-03
#	p_y,py	1.483680e-02
#	i,i	2.967359e-03
#	j_o,j_o	2.967359e-03
#	f_i,f_i	2.967359e-03
#	t_e,t_e	2.967359e-03
#	s_a,s_a	2.967359e-03
#	n,N	2.967359e-03
#	f_e,f_e	2.967359e-03
#	s_e,s_e	2.967359e-03
#	y_y,cl_y	1.483680e-02
#	t_t,cl_ty	1.483680e-02
#	d_a,d_a	2.967359e-03
#	h_a,h_a	2.967359e-03
#	g_w,gw	1.483680e-02
#	h_y,hy	1.483680e-02
#	h_e,h_e	2.967359e-03
#	r_i,r_i	2.967359e-03
#	p_i,p_i	2.967359e-03
#	b_u,b_u	2.967359e-03
#	t_o,t_o	2.967359e-03
#	n_n,cl_ny	1.483680e-02
#	j_e,j_e	2.967359e-03
#	g_g,cl_gy	1.483680e-02
#	z_a,z_a	2.967359e-03
#	y_a,y_a	2.967359e-03
#	t_i,t_i	2.967359e-03
#	z_e,z_e	2.967359e-03
#	w_e,w_e	2.967359e-03
#	h_o,h_o	2.967359e-03
#	j_u,j_u	2.967359e-03
#	r_o,r_o	2.967359e-03
#	m_a,m_a	2.967359e-03
#	v_o,v_o	2.967359e-03
